,Time_s,Speaker,Probability,Country,Gender
0,83,Gwendoline Christie,0.4342459,UK,f
1,83,John Carroll Lynch,0.042973604,USA,m
2,83,Marla Gibbs,0.027124546,USA,f
0,84,Randolph Mantooth,0.12683031,USA,m
1,84,Jim Caviezel,0.09783826,USA,m
2,84,Kyle MacLachlan,0.06350745,USA,m
0,85,Kyle MacLachlan,0.21607761,USA,m
1,85,Jim Caviezel,0.09794825,USA,m
2,85,Randolph Mantooth,0.052734334,USA,m
0,86,Kyle MacLachlan,0.1452528,USA,m
1,86,Jim Caviezel,0.1240126,USA,m
2,86,Fred Williamson,0.057761095,USA,m
0,87,Gwendoline Christie,0.3318333,UK,f
1,87,Martin Clunes,0.15585282,UK,m
2,87,Kyle MacLachlan,0.050092977,USA,m
0,88,Gwendoline Christie,0.41751045,UK,f
1,88,John Carroll Lynch,0.04816775,USA,m
2,88,Martin Clunes,0.043180216,UK,m
0,89,Gwendoline Christie,0.4187637,UK,f
1,89,Shirley Manson,0.04403896,UK,f
2,89,Cher,0.043178126,USA,f
0,90,Shirley Manson,0.1004309,UK,f
1,90,Sherri Saum,0.047698714,USA,f
2,90,Tatiana Maslany,0.03945664,Canada,f
0,91,Sherri Saum,0.11108319,USA,f
1,91,Andy Richter,0.075898476,USA,m
2,91,Nathan Fillion,0.061519295,Canada,m
0,92,Deidre Hall,0.2583213,USA,f
1,92,Linda Gray,0.05573865,USA,f
2,92,Margo Martindale,0.048431408,USA,f
0,93,Deidre Hall,0.2965583,USA,f
1,93,David Cassidy,0.15459701,USA,m
2,93,Gates McFadden,0.108513504,USA,f
0,94,David Cassidy,0.659992,USA,m
1,94,Gates McFadden,0.029320737,USA,f
2,94,Ruby Dee,0.020053478,USA,f
0,95,David Cassidy,0.69040596,USA,m
1,95,John Lasseter,0.024887025,USA,m
2,95,Hill Harper,0.017605552,USA,m
0,96,David Cassidy,0.45431632,USA,m
1,96,Marion Ross,0.093922466,USA,f
2,96,Loretta Swit,0.036333606,USA,f
0,97,David Cassidy,0.3635054,USA,m
1,97,Marion Ross,0.14553991,USA,f
2,97,Donna Mills,0.039153494,USA,f
0,98,Donna Mills,0.3750469,USA,f
1,98,Deidre Hall,0.06723877,USA,f
2,98,Judith Light,0.041506283,USA,f
0,99,Donna Mills,0.28883606,USA,f
1,99,Claudia Black,0.05418559,Australia,f
2,99,Ruby Dee,0.053612817,USA,f
0,100,Donna Mills,0.35852256,USA,f
1,100,Janice Dickinson,0.099487975,USA,f
2,100,Claudia Black,0.08928904,Australia,f
0,101,Donna Mills,0.366905,USA,f
1,101,Claudia Black,0.18711199,Australia,f
2,101,Helena Bonham Carter,0.029588947,UK,f
0,102,Donna Mills,0.3012732,USA,f
1,102,Claudia Black,0.09522287,Australia,f
2,102,Helena Bonham Carter,0.07465306,UK,f
0,103,Donna Mills,0.38085967,USA,f
1,103,Claudia Black,0.09663422,Australia,f
2,103,Helena Bonham Carter,0.04087483,UK,f
0,104,Donna Mills,0.3909283,USA,f
1,104,Claudia Black,0.07034861,Australia,f
