,Time_s,Speaker,Probability,Country,Gender
0,205,Tim Minchin,0.52377737,Australia,m
1,205,John Lloyd Young,0.10696134,USA,m
2,205,Patrick Dempsey,0.05189658,USA,m
0,206,Patrick Dempsey,0.29415712,USA,m
1,206,Judy Sheindlin,0.23681991,USA,f
2,206,Mark Gatiss,0.15044707,UK,m
0,207,Judy Sheindlin,0.12227435,USA,f
1,207,Joe Flanigan,0.09234052,USA,m
2,207,Heike Makatsch,0.055534214,Germany,f
0,208,Joe Flanigan,0.3006076,USA,m
1,208,Zach Braff,0.047850385,USA,m
2,208,Sophie Okonedo,0.031852756,UK,f
0,209,Joe Flanigan,0.17328548,USA,m
1,209,Zach Braff,0.11599255,USA,m
2,209,Ben Whishaw,0.10583989,UK,m
0,210,John Lloyd Young,0.27163234,USA,m
1,210,Loretta Swit,0.117736265,USA,f
2,210,Zach Braff,0.09600061,USA,m
0,211,Alexz Johnson,0.24953802,Canada,f
1,211,Claudia Black,0.09782959,Australia,f
2,211,Finola Hughes,0.06591279,UK,f
0,212,Alexz Johnson,0.09277143,Canada,f
1,212,Seann William Scott,0.06388266,USA,m
2,212,Olivia Wilde,0.060350653,USA,f
0,213,Harry Shum Jr.,0.07170926,USA,m
1,213,Arden Cho,0.051984347,USA,f
2,213,Hilarie Burton,0.042385083,USA,f
0,214,Sherri Saum,0.14260176,USA,f
1,214,Olivia Wilde,0.10081239,USA,f
2,214,Dawn French,0.05267851,UK,f
0,215,Natalia Tena,0.11123447,UK,f
1,215,Freddie Highmore,0.061456755,UK,m
2,215,Mariel Hemingway,0.05101197,USA,f
0,216,Lesley Manville,0.34918374,UK,f
1,216,Drake Bell,0.087877594,USA,m
2,216,Natalia Tena,0.046689242,UK,f
0,217,Lesley Manville,0.30181783,UK,f
1,217,Steven Moffat,0.051124565,UK,m
2,217,Rebecca Mader,0.04397777,UK,f
0,218,Shirley Manson,0.19276534,UK,f
1,218,David Attenborough,0.124357216,UK,m
2,218,Rebecca Mader,0.050118253,UK,f
